npn,resolucion_predio_id,codigo
761470102000012950041000000000,23864,Lote urbanizado no construido
761470102000012960001000000000,23864,Lote urbanizado no construido
761470102000012960002000000000,23864,Lote urbanizado no construido
761470102000012960003000000000,23864,Lote urbanizado no construido
761470102000012960004000000000,23864,Lote urbanizado no construido
761470102000012960005000000000,23864,Lote urbanizado no construido
761470102000012960006000000000,23864,Lote urbanizado no construido
761470102000012960007000000000,23864,Lote urbanizado no construido
761470102000012960008000000000,23864,Lote urbanizado no construido
761470102000012960009000000000,23864,Lote urbanizado no construido
761470102000012960010000000000,23864,Lote urbanizado no construido
761470102000012960011000000000,23864,Lote urbanizado no construido
761470102000012960012000000000,23864,Lote urbanizado no construido
761470102000012960013000000000,23864,Lote urbanizado no construido
761470102000012960014000000000,23864,Lote urbanizado no construido
761470102000012960015000000000,23864,Lote urbanizado no construido
761470102000012960016000000000,23864,Lote urbanizado no construido
761470102000012960017000000000,23864,Lote urbanizado no construido
761470102000012960018000000000,23864,Lote urbanizado no construido
761470102000012960019000000000,23864,Lote urbanizado no construido
761470102000012960020000000000,23864,Lote urbanizado no construido
761470102000012960021000000000,23864,Lote urbanizado no construido
761470102000012960022000000000,23864,Lote urbanizado no construido
761470102000012960023000000000,23864,Lote urbanizado no construido
761470102000012960024000000000,23864,Lote urbanizado no construido
761470102000012960025000000000,23864,Lote urbanizado no construido
761470102000012960026000000000,23864,Lote urbanizado no construido
761470102000012960027000000000,23864,Lote urbanizado no construido
761470102000012960028000000000,23864,Lote urbanizado no construido
761470102000012960029000000000,23864,Lote urbanizado no construido
761470102000012960030000000000,23864,Lote urbanizado no construido
761470102000012960031000000000,23864,Lote urbanizado no construido
761470102000012960032000000000,23864,Lote urbanizado no construido
761470102000012960033000000000,23864,Lote urbanizado no construido
761470102000012960034000000000,23864,Lote urbanizado no construido
761470102000012960035000000000,23864,Lote urbanizado no construido
761470102000012960036000000000,23864,Lote urbanizado no construido
761470102000012970001000000000,23864,Lote urbanizado no construido
761470102000012970002000000000,23864,Lote urbanizado no construido
761470102000012970003000000000,23864,Lote urbanizado no construido
761470102000012970004000000000,23864,Lote urbanizado no construido
761470102000012970005000000000,23864,Lote urbanizado no construido
761470102000012970006000000000,23864,Lote urbanizado no construido
761470102000012970007000000000,23864,Lote urbanizado no construido
761470102000012970008000000000,23864,Lote urbanizado no construido
761470102000012970009000000000,23864,Lote urbanizado no construido
761470102000012970010000000000,23864,Lote urbanizado no construido
761470102000012970011000000000,23864,Lote urbanizado no construido
761470102000012970012000000000,23864,Lote urbanizado no construido
761470102000012970013000000000,23864,Lote urbanizado no construido
761470102000012970014000000000,23864,Lote urbanizado no construido
761470102000012970015000000000,23864,Lote urbanizado no construido
761470102000012970016000000000,23864,Lote urbanizado no construido
761470102000012970017000000000,23864,Lote urbanizado no construido
761470102000012970018000000000,23864,Lote urbanizado no construido
761470102000012970019000000000,23864,Lote urbanizado no construido
761470102000012970020000000000,23864,Lote urbanizado no construido
761470102000012970021000000000,23864,Lote urbanizado no construido
761470102000012970022000000000,23864,Lote urbanizado no construido
761470102000012970023000000000,23864,Lote urbanizado no construido
761470102000012970024000000000,23864,Lote urbanizado no construido
761470102000012970025000000000,23864,Lote urbanizado no construido
761470102000012970026000000000,23864,Lote urbanizado no construido
